Date,Type,Journal,Language post,Field,Link,DOI,Likes,Comments,Shares,Altmetric,Twitter,Facebook,Blogs,Mendeley,Observ.,Other Altmetric/Lang paper
jun/26/2017,Release,Cadernos Pagu,pt,Gênero,http://humanas.blog.scielo.org/blog/2017/06/26/cadernos-pagu-trajetoria-e-programacao-para-a-semana-especial-do-blog-scielo-em-perspectiva-humanas/,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=0104-833320170002&lng=en&nrm=iso,14,1,45,0,0,0,0,0,Link p/blog. Comment indicação. 173 likes FB Blog. Link p/edição. Semana Especial CPA,
jun/27/2017,Release,Cadernos Pagu,pt,Gênero,http://humanas.blog.scielo.org/blog/2017/06/27/genero-e-sexualidade-no-brasil-balancos-e-desafios-atuais/,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=0104-833320170002&lng=en&nrm=iso,61,6,236,0,0,0,0,0,Link p/blog. 1 Comment indicação. 906 likes FB Blog. Link p/edição. Video. Semana Especial CPA,
Apr/12/2017,release,Varia Historia,pt,História,http://humanas.blog.scielo.org/blog/2017/04/12/ciencia-raca-e-eugenia-na-segunda-metade-do-seculo-xx-e-tema-de-destaque-em-varia-historia/,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=0104-877520170001&lng=pt&nrm=iso,10,0,0,0,0,0,0,,Link to blog. Blog link p/edição,
Jan/3/2017,Release,Ciência & Saúde Coletiva,Pt,Saúde,https://pressreleases.scielo.org/blog/2017/01/03/problemas-de-saude-e-vulnerabilidade-da-populacao-idosa/#.Wej44BNSx3k,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1413-812320160011&lng=pt&nrm=iso,22,0,11,,,,0,,Link pro Blog. No blog link para edição,
Jan/5/2017,Release,Ciência & Saúde Coletiva,pt,Saúde,https://pressreleases.scielo.org/blog/2017/01/05/acidentes-sao-a-principal-causa-de-morte-violenta-no-mundo/#.Wej6HxNSx3k,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1413-812320160012&lng=pt&nrm=iso,17,2,3,,,,0,,Link pro Blog. Blog link p/ edição. Comentário indicação para outra pessoa e um comentário sobre relevância do tema,
Feb/10/2017,release,Ciência & Saúde Coletiva,pt,Saúde,https://pressreleases.scielo.org/blog/2017/02/10/a-abordagem-qualitativa-cabe-na-formacao-e-na-pesquisa-medica/#.WekdGxNSx3k,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1413-812320170001&lng=pt&nrm=iso,8,0,1,,,,0,,Link p/blog. Post p/edição. Links em ,
Feb/16/2017,release,Ciência & Saúde Coletiva,pt,Saúde,https://pressreleases.scielo.org/blog/2017/02/16/ciencia-saude-coletiva-no-concerto-dos-periodicos-nacionais/#.WekftBNSx3k,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1413-812320170002&lng=pt&nrm=iso,7,0,0,,,,0,,Link p/blog. Blog link p/edição.,
Mar/20/2017,release,Ciência & Saúde Coletiva,pt,Saúde,https://pressreleases.scielo.org/blog/2017/03/20/rio-de-janeiro-e-lisboa-juntas-no-aprimoramento-da-atencao-basica-em-saude/#.WekoTRNSx3k,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1413-812320170023&lng=pt&nrm=iso,6,0,0,,,,0,,Link p/blog. Blog link p/ edição,
Jul/24/2017,Release,Ciência & Saúde Coletiva,pt,Saúde,https://pressreleases.scielo.org/blog/2017/07/24/desenvolvimento-desigualdade-e-cooperacao-internacional-em-saude/#.We_JihNSx3k,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1413-812320170027&lng=pt&nrm=iso,5,0,0,0,0,0,0,0,Link p/blog. 7 likes FB blog. Blog link p/ edição,
Aug/23/2017,Release,Ciência & Saúde Coletiva,pt,Saúde,https://pressreleases.scielo.org/blog/2017/08/23/assistencia-farmaceutica-com-foco-nas-necessidades-da-populacao/#.WfDuH0yZN3k,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1413-812320170028&lng=pt&nrm=iso,18,2,11,0,0,0,0,0,Link p/blog. 2 comments indicação. 41 likes FB Blog. Blog link p/edição,
Sep/22/2017,Release,Psico-USF,pt,Psicologia,http://humanas.blog.scielo.org/blog/2017/09/22/esta-no-ar-a-primeira-edicao-de-2017-do-periodico-psico-usf-venha-conferir/,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1413-827120170001&lng=en&nrm=iso,11,0,2,0,0,0,0,0,Link p/blog. Blog link edição. 16 likes FB blog., 
Mar/8/2017,release,Revista de Administração Ocntemporânea - RAC,pt,Administração,http://humanas.blog.scielo.org/blog/2017/03/08/revista-de-administracao-contemporanea-completa-20-anos-de-publicacao-e-traz-novidades-em-sua-politica-editorial/,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-655520170001&lng=en&nrm=iso,4,0,0,,,,0,,Link p/blog. Blok link edição. 5 likes FB blog.,
Sep/27/2017,Release,Ágora – Estudos em Teoria Psicanalítica,pt,Medicina,http://humanas.blog.scielo.org/blog/2017/09/27/entre-o-registro-do-sujeito-e-o-registro-do-social-a-psicanalise-na-experiencia-contemporanea/,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1516-149820170002&lng=en&nrm=iso,12,0,13,0,0,0,0,0,Link p/ blog. 13 likes FB blog. Blog link edição.,pt
jun/14/2017,release,Brazilian Administration Review,en,Administração,http://humanas.blog.scielo.org/en/2017/06/14/bars-new-issue-brings-interesting-topics-to-our-readers-such-as-social-networks-brazilian-stock-market-gender-differences-among-others/,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1807-769220170001&lng=en&nrm=iso,5,0,0,0,0,0,0,0,"Link p/blog. Post e blog em en., 6 likes FB blog. Link p/edição.",
